ts,platform,ms_played,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2019-02-08T22:51:39Z,Android,31267,"8 - ""Taste"" by Rebecca Woodmass",A Little Poem with Rebecca Woodmass,spotify:episode:0lY0dPwAfZoPgSepp1eCrp,clickrow,endplay,False,,False,1549666235287,False
2019-02-09T03:50:12Z,Android,5463,What your breath could reveal about your health | Julian Burschka,TED Talks Daily,spotify:episode:6v0Fw2ov3RclzEFoG68roa,clickrow,unexpected-exit-while-paused,False,,False,1549666299325,False
2019-02-09T03:50:33Z,Android,5463,What your breath could reveal about your health | Julian Burschka,TED Talks Daily,spotify:episode:6v0Fw2ov3RclzEFoG68roa,clickrow,unexpected-exit-while-paused,False,,False,1549666299325,False
2019-02-09T03:50:51Z,Android,5463,What your breath could reveal about your health | Julian Burschka,TED Talks Daily,spotify:episode:6v0Fw2ov3RclzEFoG68roa,clickrow,unexpected-exit-while-paused,False,,False,1549666299325,False
2019-02-09T11:05:55Z,Android,77742,What your breath could reveal about your health | Julian Burschka,TED Talks Daily,spotify:episode:6v0Fw2ov3RclzEFoG68roa,appload,logout,False,,False,1549710054124,False
2019-02-09T22:57:59Z,Android,6292,It’s No Big Deal or Is It,Nouman Ali Khan,spotify:episode:5SQ3pHqXUDd6bVsSAenVYt,clickrow,endplay,False,,False,1549753070908,False
2019-02-09T22:59:53Z,Android,112069,Guiding Our Thoughts Of Others,Nouman Ali Khan,spotify:episode:4gDKPRP9cDDKsWcuBpACOJ,clickrow,endplay,False,,False,1549753078634,False
2019-02-09T23:00:39Z,Android,43021,"Episode #6: Origin - Saat Robert Langdon Ketemu Elon Musk ""Wannabe""",Podcast Kosong,spotify:episode:5d4TPcaXAatz6IeRT0BZUy,clickrow,endplay,False,,False,1549753191477,False
2019-02-09T23:08:55Z,Android,10056,This is the Key!,The Mindset Mentor,spotify:episode:2oIWHS9zdhrndVZYjdjJ5x,clickrow,logout,False,,False,1549753238675,False
2019-05-25T06:11:19Z,Android,101416,Self Love,Han’s living room,spotify:episode:4yiao3CsMml7u8NgkLVOcX,clickrow,endplay,False,,False,1558764575782,False
2019-05-25T06:12:53Z,Android,61238,Sesi Tujuh - Perkuliyahan.,Gitu Ceritanya,spotify:episode:0XchdoNmJcQeJuVAaU5LSf,clickrow,fwdbtn,False,,False,1558764678784,False
2019-05-25T06:12:55Z,Android,1625,"Sesi Delapan - Mewabahnya Penyakit, Zodiak, dan HSM",Gitu Ceritanya,spotify:episode:6nviy4lTcs66sEQQyww7PV,fwdbtn,backbtn,False,,False,1558764772809,False
2019-05-25T06:13:37Z,Android,41470,Sesi Tujuh - Perkuliyahan.,Gitu Ceritanya,spotify:episode:0XchdoNmJcQeJuVAaU5LSf,backbtn,endplay,False,,False,1558764774915,False
2019-05-25T06:14:31Z,Android,52515,13. Ketika Dicintai oleh Diri Sendiri,Menjadi Manusia,spotify:episode:5FhmiQ5B6rnRmypsWyOhPn,clickrow,endplay,False,,False,1558764817311,False
2019-05-25T06:17:13Z,Android,156404,PC.001: Mengenal Depresi,Pondok Curhat,spotify:episode:3WgXQRMqbBcQKVrZbRagok,clickrow,endplay,False,,False,1558764871433,False
